Date,Time,Day,Station,Delay,Vehicle
2018-02-01,0:36,Thursday,RUNNYMEDE STATION,0,0
2018-02-01,0:55,Thursday,MCCOWAN STATION,6,3004
2018-02-01,1:03,Thursday,SUMMERHILL STATION,3,5516
2018-02-01,1:55,Thursday,LAWRENCE STATION,0,5466
2018-02-01,2:42,Thursday,WILSON STATION,0,0
2018-02-01,2:44,Thursday,MCCOWAN YARD,0,0
2018-02-01,5:35,Thursday,GLENCAIRN STATION,0,0
2018-02-01,6:13,Thursday,DONLANDS STATION,0,5301
2018-02-01,6:15,Thursday,KENNEDY BD STATION,0,5340
2018-02-01,6:29,Thursday,BLOOR STATION,0,5656
2018-02-01,6:35,Thursday,MIDLAND STATION,0,3012
2018-02-01,7:02,Thursday,KIPLING STATION,0,5192
2018-02-01,7:19,Thursday,GREENWOOD STATION,0,5332
2018-02-01,7:21,Thursday,ROYAL YORK STATION,7,5025
2018-02-01,7:33,Thursday,RUNNYMEDE STATION,3,5303
2018-02-01,7:51,Thursday,SHEPPARD WEST STATION,0,0
2018-02-01,8:07,Thursday,DAVISVILLE STATION,0,5596
2018-02-01,8:42,Thursday,EGLINTON WEST STATION,28,5911
2018-02-01,8:56,Thursday,BLOOR STATION,4,5576
2018-02-01,9:08,Thursday,KENNEDY BD STATION,0,5169
2018-02-01,9:12,Thursday,WILSON STATION,4,5456
2018-02-01,10:00,Thursday,BROADVIEW STATION,6,5052
2018-02-01,10:16,Thursday,LAWRENCE WEST STATION,0,5786
2018-02-01,10:30,Thursday,KENNEDY BD STATION,0,5021
2018-02-01,11:22,Thursday,WELLESLEY STATION,0,0
2018-02-01,11:39,Thursday,WELLESLEY STATION,0,5506
2018-02-01,11:42,Thursday,BLOOR DANFORTH SUBWAY,0,0
2018-02-01,11:52,Thursday,ST GEORGE BD STATION,0,5054
2018-02-01,11:53,Thursday,DUNDAS STATION,0,5621
2018-02-01,12:09,Thursday,YONGE UNIVERSITY LINE,0,0
2018-02-01,12:10,Thursday,KEELE STATION,0,5166
2018-02-01,12:18,Thursday,OLD MILL STATION,0,0
2018-02-01,12:45,Thursday,VAUGHAN MC STATION,0,0
2018-02-01,13:48,Thursday,VAUGHAN MC STATION,3,5651
2018-02-01,14:12,Thursday,WARDEN STATION,0,5330
2018-02-01,14:22,Thursday,BAYVIEW STATION,0,6176
2018-02-01,14:28,Thursday,ROYAL YORK STATION,0,0
2018-02-01,15:12,Thursday,ISLINGTON STATION,3,5092
2018-02-01,15:38,Thursday,DUNDAS STATION,0,0
2018-02-01,15:41,Thursday,VAUGHAN MC STATION,3,5741
2018-02-01,15:51,Thursday,VAUGHAN MC STATION,3,5741
2018-02-01,15:59,Thursday,ST GEORGE YUS STATION,4,5561
2018-02-01,16:09,Thursday,KENNEDY BD STATION,0,5330
2018-02-01,16:12,Thursday,DON MILLS STATION,0,6166
2018-02-01,16:39,Thursday,FINCH STATION,3,5951
2018-02-01,17:01,Thursday,KENNEDY SRT STATION,142,3007
2018-02-01,17:02,Thursday,ISLINGTON STATION,0,0
2018-02-01,17:25,Thursday,FINCH STATION,0,6031
2018-02-01,17:26,Thursday,COXWELL STATION,6,5158
2018-02-01,17:35,Thursday,SHEPPARD WEST STATION,0,5441
2018-02-01,17:38,Thursday,BROADVIEW STATION,6,5158
2018-02-01,17:50,Thursday,DAVISVILLE STATION,0,0
2018-02-01,18:00,Thursday,SHEPPARD WEST STATION,0,0
2018-02-01,18:02,Thursday,EGLINTON WEST STATION,3,5701
2018-02-01,18:40,Thursday,ST CLAIR WEST STATION,0,5666
