Date,Time,Day,Station,Delay,Vehicle
2018-01-01,0:29,Monday,SHEPPARD WEST STATION,10,5986
2018-01-01,1:07,Monday,DUNDAS STATION,0,0
2018-01-01,1:22,Monday,MUSEUM STATION,0,5751
2018-01-01,1:28,Monday,BAY LOWER,0,5222
2018-01-01,1:39,Monday,MUSEUM STATION,6,5781
2018-01-01,2:00,Monday,BLOOR DANFORTH SUBWAY,0,0
2018-01-01,2:09,Monday,KIPLING STATION,3,5261
2018-01-01,2:32,Monday,UNION STATION,0,0
2018-01-01,2:42,Monday,COLLEGE STATION,7,5696
2018-01-01,2:48,Monday,KIPLING STATION,0,0
2018-01-01,3:06,Monday,WARDEN STATION,3,5257
2018-01-01,3:12,Monday,WILSON YARD,0,5816
2018-01-01,4:38,Monday,WILSON YARD,0,5696
2018-01-01,7:55,Monday,DONLANDS STATION,4,0
2018-01-01,7:57,Monday,KEELE STATION,4,5321
2018-01-01,8:02,Monday,KENNEDY BD STATION,0,5202
2018-01-01,8:08,Monday,ISLINGTON STATION,0,0
2018-01-01,8:28,Monday,DONLANDS STATION,4,0
2018-01-01,8:33,Monday,KENNEDY SRT STATION,7,3013
2018-01-01,8:41,Monday,VICTORIA PARK STATION,6,5030
2018-01-01,8:46,Monday,OLD MILL STATION,4,5069
2018-01-01,8:52,Monday,KENNEDY SRT STATION,7,3004
2018-01-01,9:02,Monday,DAVISVILLE STATION,4,5755
2018-01-01,9:11,Monday,EGLINTON WEST STATION,0,5456
2018-01-01,9:23,Monday,DAVISVILLE STATION,0,5601
2018-01-01,10:15,Monday,ROYAL YORK STATION,0,5210
2018-01-01,11:06,Monday,CHESTER STATION,0,5046
2018-01-01,11:28,Monday,YONGE SHP STATION,0,0
2018-01-01,11:46,Monday,KENNEDY BD STATION,4,5046
2018-01-01,13:16,Monday,COXWELL STATION,0,5238
2018-01-01,13:26,Monday,ST GEORGE BD STATION,9,5314
2018-01-01,13:34,Monday,LANSDOWNE STATION,0,0
2018-01-01,14:15,Monday,YONGE UNIVERSITY LINE,0,0
2018-01-01,15:36,Monday,SHERBOURNE STATION,5,5269
2018-01-01,15:49,Monday,EGLINTON STATION,6,6061
2018-01-01,16:45,Monday,ST GEORGE BD STATION,10,5242
2018-01-01,16:47,Monday,VICTORIA PARK STATION,62,5225
2018-01-01,16:50,Monday,VICTORIA PARK STATION,39,5010
2018-01-01,17:05,Monday,PAPE STATION,3,5242
2018-01-01,17:07,Monday,BLOOR STATION,6,5751
