Date,Time,Day,Station,Delay,Vehicle
2017-11-01,00:28,Wednesday,QUEEN'S PARK STATION,0,5756
2017-11-01,00:43,Wednesday,WARDEN STATION,0,5194
2017-11-01,00:52,Wednesday,VICTORIA PARK STATION,0,5240
2017-11-01,00:58,Wednesday,MAIN STREET STATION,0,5312
2017-11-01,01:26,Wednesday,SHEPPARD STATION,5,5421
2017-11-01,06:15,Wednesday,KENNEDY BD STATION,0,5371
2017-11-01,06:23,Wednesday,DONLANDS STATION,0,5254
2017-11-01,06:27,Wednesday,DONLANDS STATION,0,5249
2017-11-01,06:53,Wednesday,ST CLAIR STATION,0,5421
2017-11-01,06:57,Wednesday,FINCH STATION,0,5721
2017-11-01,07:25,Wednesday,PAPE STATION,0,5190
2017-11-01,07:35,Wednesday,GREENWOOD STATION,0,5146
2017-11-01,07:46,Wednesday,ST CLAIR WEST STATION,0,5996
2017-11-01,07:46,Wednesday,ST GEORGE YUS STATION,5,6006
2017-11-01,08:01,Wednesday,ST CLAIR WEST STATION,0,5406
2017-11-01,08:06,Wednesday,YORKDALE STATION,10,5436
2017-11-01,08:26,Wednesday,YORKDALE STATION,4,5841
2017-11-01,08:28,Wednesday,WELLESLEY STATION,0,5831
2017-11-01,08:29,Wednesday,ST CLAIR WEST STATION,0,5531
2017-11-01,08:32,Wednesday,BROADVIEW STATION,0,0
2017-11-01,08:32,Wednesday,SHERBOURNE STATION,0,5357
2017-11-01,08:36,Wednesday,DUPONT STATION,0,5131
2017-11-01,08:37,Wednesday,LAWRENCE STATION,0,5801
2017-11-01,08:42,Wednesday,ST CLAIR WEST STATION,3,5746
2017-11-01,08:43,Wednesday,ST GEORGE YUS STATION,0,5776
2017-11-01,08:50,Wednesday,EGLINTON WEST STATION,5,5646
2017-11-01,08:57,Wednesday,EGLINTON WEST STATION,0,5846
2017-11-01,09:01,Wednesday,QUEEN'S PARK STATION,0,5746
2017-11-01,09:02,Wednesday,ROSEDALE STATION,5,6001
2017-11-01,09:06,Wednesday,DUPONT STATION,0,5636
2017-11-01,09:16,Wednesday,WELLESLEY STATION,5,5626
2017-11-01,09:18,Wednesday,YONGE BD STATION,5,5045
2017-11-01,09:26,Wednesday,SCARB CTR STATION,0,0
2017-11-01,09:40,Wednesday,YONGE BD STATION,0,5043
2017-11-01,09:55,Wednesday,ST CLAIR WEST STATION,0,5756
2017-11-01,10:01,Wednesday,ST CLAIR WEST STATION,0,6096
2017-11-01,10:14,Wednesday,FINCH STATION,0,6136
2017-11-01,10:22,Wednesday,YORKDALE STATION,0,5571
2017-11-01,10:26,Wednesday,EGLINTON WEST STATION,4,5766
2017-11-01,10:29,Wednesday,SPADINA BD STATION,0,5299
2017-11-01,10:30,Wednesday,YORKDALE STATION,0,5561
2017-11-01,10:33,Wednesday,VICTORIA PARK STATION,0,5068
2017-11-01,10:39,Wednesday,ROSEDALE STATION,3,5061
2017-11-01,10:48,Wednesday,YORKDALE STATION,0,5936
2017-11-01,11:02,Wednesday,DONLANDS STATION,0,5102
2017-11-01,11:07,Wednesday,YORKDALE STATION,0,5841
2017-11-01,11:37,Wednesday,GLENCAIRN STATION,0,5846
2017-11-01,11:45,Wednesday,BLOOR DANFORTH SUBWAY,0,0
2017-11-01,11:48,Wednesday,OLD MILL STATION,0,5103
2017-11-01,11:55,Wednesday,OLD MILL STATION,0,5322
2017-11-01,12:04,Wednesday,DUNDAS WEST STATION,0,5052
2017-11-01,13:19,Wednesday,EGLINTON STATION,0,6061
2017-11-01,13:58,Wednesday,ST GEORGE BD STATION,19,5280
2017-11-01,14:31,Wednesday,GREENWOOD PORTAL,0,5312
2017-11-01,14:44,Wednesday,EGLINTON STATION,7,5831
2017-11-01,14:45,Wednesday,SHEPPARD WEST STATION,0,6061
2017-11-01,15:03,Wednesday,EGLINTON STATION,3,5881
2017-11-01,15:03,Wednesday,HIGH PARK STATION,0,0
2017-11-01,15:24,Wednesday,WOODBINE STATION,0,5245
2017-11-01,15:43,Wednesday,DAVISVILLE STATION,7,5811
2017-11-01,16:17,Wednesday,YONGE BD STATION,0,0
2017-11-01,16:18,Wednesday,VICTORIA PARK STATION,7,5312
2017-11-01,16:42,Wednesday,LAWRENCE STATION,0,5396
2017-11-01,16:43,Wednesday,UNION STATION,0,5746
2017-11-01,16:53,Wednesday,WELLESLEY STATION,0,0
2017-11-01,16:56,Wednesday,ROSEDALE STATION,0,5746
2017-11-01,16:56,Wednesday,SUMMERHILL STATION,0,5691
2017-11-01,17:34,Wednesday,YONGE SHP STATION,0,6186
2017-11-01,19:20,Wednesday,SPADINA BD STATION,0,5343
2017-11-01,19:28,Wednesday,SHEPPARD STATION,0,5931
2017-11-01,19:30,Wednesday,NORTH YORK CTR STATION,4,5935
2017-11-01,19:50,Wednesday,BLOOR DANFORTH SUBWAY,0,0
