Date,Time,Day,Station,Delay,Vehicle
2017-10-01,00:08,Sunday,EGLINTON STATION,9,5961
2017-10-01,00:35,Sunday,EGLINTON WEST TO ST CL,0,5411
2017-10-01,01:44,Sunday,DON MILLS STATION,5,6161
2017-10-01,02:09,Sunday,DUNDAS STATION,0,5671
2017-10-01,02:18,Sunday,MCCOWAN YARD,0,0
2017-10-01,02:20,Sunday,SPADINA YUS STATION,0,5536
2017-10-01,04:50,Sunday,COXWELL STATION,0,5215
2017-10-01,04:58,Sunday,DUFFERIN STATION,0,0
2017-10-01,05:01,Sunday,ISLINGTON STATION,0,0
2017-10-01,08:05,Sunday,VICTORIA PARK STATION,6,5131
2017-10-01,08:23,Sunday,MCCOWAN STATION,6,3018
2017-10-01,08:26,Sunday,SHEPPARD WEST STATION,0,5911
2017-10-01,09:17,Sunday,BLOOR STATION,0,5731
2017-10-01,10:40,Sunday,DUNDAS WEST STATION,0,5120
2017-10-01,10:41,Sunday,YONGE UNIVERSITY LINE,0,0
2017-10-01,11:27,Sunday,KENNEDY BD STATION,0,5195
2017-10-01,12:18,Sunday,WARDEN STATION,6,5239
2017-10-01,12:25,Sunday,WILSON STATION,0,5941
2017-10-01,12:44,Sunday,ST GEORGE YUS STATION,3,5941
2017-10-01,12:52,Sunday,WARDEN STATION,5,5244
2017-10-01,12:54,Sunday,WARDEN STATION,0,0
2017-10-01,13:46,Sunday,ROYAL YORK STATION,0,5325
2017-10-01,14:53,Sunday,OSGOODE STATION,0,5966
2017-10-01,15:10,Sunday,ST GEORGE YUS STATION,4,5831
2017-10-01,15:14,Sunday,SHEPPARD STATION,0,5601
2017-10-01,17:05,Sunday,KIPLING STATION,0,5365
2017-10-01,19:02,Sunday,OSSINGTON STATION,0,5297
2017-10-01,19:56,Sunday,EGLINTON STATION,0,6041
2017-10-01,20:00,Sunday,YONGE UNIVERSITY LINE,0,0
2017-10-01,20:21,Sunday,YONGE SHP STATION,0,0
2017-10-01,20:59,Sunday,UNION TO KING STATION,0,5601
2017-10-01,22:00,Sunday,YUS/BD/SHEPPARD SUBWAY,0,0
2017-10-01,22:16,Sunday,FINCH STATION,4,5536
2017-10-01,23:07,Sunday,DUNDAS STATION,0,5396
2017-10-01,23:35,Sunday,ISLINGTON STATION,0,5225
2017-10-02,00:15,Monday,BATHURST STATION,0,5330
2017-10-02,00:37,Monday,WOODBINE STATION,0,5241
2017-10-02,05:56,Monday,KENNEDY BD STATION,0,5186
2017-10-02,06:06,Monday,JANE STATION,3,5166
2017-10-02,06:23,Monday,YORKDALE STATION,0,5711
2017-10-02,06:37,Monday,KENNEDY BD STATION,0,5045
2017-10-02,06:41,Monday,KENNEDY BD STATION,0,5297
2017-10-02,06:59,Monday,KIPLING STATION,3,5110
2017-10-02,07:14,Monday,KENNEDY BD STATION,0,5215
2017-10-02,07:21,Monday,UNION STATION,0,0
2017-10-02,07:49,Monday,CASTLE FRANK STATION,0,5352
2017-10-02,08:13,Monday,YONGE BD STATION,6,5128
