Date,Time,Day,Station,Delay,Vehicle
2017-09-01,0:01,Friday,SHEPPARD STATION,0,5631
2017-09-01,0:06,Friday,ST GEORGE YUS STATION,0,0
2017-09-01,1:01,Friday,ISLINGTON STATION,0,0
2017-09-01,2:24,Friday,BLOOR STATION,0,0
2017-09-01,4:45,Friday,QUEEN STATION,0,0
2017-09-01,5:30,Friday,YONGE SHP STATION,5,6186
2017-09-01,5:33,Friday,WILSON HOSTLER,0,5761
2017-09-01,6:43,Friday,BROADVIEW STATION,0,5194
2017-09-01,6:53,Friday,JANE STATION,0,5286
2017-09-01,7:03,Friday,JANE STATION,0,5082
2017-09-01,7:30,Friday,KIPLING STATION,0,5307
2017-09-01,7:58,Friday,ST CLAIR WEST STATION,0,5571
2017-09-01,8:42,Friday,OLD MILL STATION,0,5309
2017-09-01,8:48,Friday,PAPE STATION,0,5156
2017-09-01,8:49,Friday,WOODBINE STATION,0,5046
2017-09-01,8:52,Friday,LANSDOWNE STATION,5,5309
2017-09-01,8:59,Friday,COLLEGE STATION,0,5691
2017-09-01,9:01,Friday,CHRISTIE STATION,7,5309
2017-09-01,9:26,Friday,BAY STATION,0,0
2017-09-01,9:57,Friday,OLD MILL STATION,0,5357
2017-09-01,10:01,Friday,YORKDALE STATION,0,6001
2017-09-01,10:02,Friday,BAY STATION,0,5314
2017-09-01,11:07,Friday,COXWELL STATION,0,5285
2017-09-01,11:11,Friday,DUNDAS WEST STATION,0,4087
2017-09-01,13:03,Friday,OLD MILL STATION,0,5241
2017-09-01,13:18,Friday,SHEPPARD WEST STATION,0,5706
2017-09-01,13:26,Friday,DON MILLS STATION,5,6156
2017-09-01,13:39,Friday,JANE STATION,4,5335
2017-09-01,13:59,Friday,KENNEDY SRT STATION,3,3000
2017-09-01,14:35,Friday,KING STATION,0,5626
2017-09-01,14:36,Friday,WARDEN STATION,3,5116
2017-09-01,14:50,Friday,OSSINGTON STATION,0,5090
2017-09-01,14:58,Friday,YONGE SHP STATION,0,6141
2017-09-01,15:25,Friday,WILSON HOSTLER,0,5811
2017-09-01,15:42,Friday,KENNEDY BD STATION,3,5240
2017-09-01,15:48,Friday,SPADINA BD STATION,0,0
2017-09-01,15:50,Friday,SPADINA BD STATION,0,0
2017-09-01,16:01,Friday,CHRISTIE STATION,0,5057
2017-09-01,16:42,Friday,MUSEUM STATION,8,5691
2017-09-01,16:54,Friday,YONGE BD STATION,0,0
2017-09-01,17:01,Friday,OLD MILL STATION,3,5105
2017-09-01,17:28,Friday,SPADINA BD STATION,13,5286
2017-09-01,17:51,Friday,BROADVIEW STATION,9,5331
2017-09-01,18:11,Friday,DUNDAS STATION,0,5586
2017-09-01,18:11,Friday,KEELE STATION,0,5129
2017-09-01,18:23,Friday,WILSON STATION,0,5736
2017-09-01,18:58,Friday,YONGE BD STATION,0,0
2017-09-01,19:16,Friday,CHRISTIE STATION,0,5307
2017-09-01,19:24,Friday,BLOOR DANFORTH SUBWAY,0,0
2017-09-01,19:49,Friday,WOODBINE STATION,14,5046
2017-09-01,21:12,Friday,WILSON STATION,5,5411
2017-09-01,22:00,Friday,YUS/BD/SHEPPARD SUBWAY,0,0
2017-09-01,22:22,Friday,BLOOR STATION,0,0
2017-09-01,22:43,Friday,MUSEUM STATION,0,5706
2017-09-01,23:15,Friday,YONGE UNIVERSITY SUBWA,0,0
2017-09-01,23:20,Friday,YONGE UNIVERSITY SUBWA,0,0
2017-09-01,23:21,Friday,KENNEDY SRT STATION,8,3025
2017-09-01,23:53,Friday,SHEPPARD STATION,3,5731
2017-09-01,23:59,Friday,JANE STATION,0,5081
2017-09-02,0:38,Saturday,FINCH STATION,5,6011
2017-09-02,1:10,Saturday,ROYAL YORK STATION,0,5188
2017-09-02,1:54,Saturday,BLOOR STATION,4,5726
2017-09-02,2:23,Saturday,SHEPPARD STATION,0,0
2017-09-02,5:54,Saturday,LAWRENCE STATION,0,5731
