stop_id,stop_code,stop_name
262,662,DANFORTH RD AT KENNEDY RD
263,929,DAVENPORT RD AT BEDFORD RD
264,940,DAVENPORT RD AT DUPONT ST
265,1871,DAVISVILLE AVE AT CLEVELAND ST
266,11700,DISCO RD AT ATTWELL DR
267,3478,DISCO RD AT ATTWELL DR
268,3479,DISCO RD AT CARLINGVIEW DR EAST SIDE
269,3480,DISCO RD AT CARLINGVIEW DR
270,14258,DON MILLS RD AT EGLINTON AVE EAST
271,9125,DON MILLS RD AT EGLINTON AVE NORTH SIDE
273,14255,DON MILLS RD AT LAWRENCE AVE EAST SOUTH SIDE
274,1950,DON MILLS RD AT LEITH HILL RD
275,14260,DON MILLS RD AT OVERLEA BLVD SOUTH SIDE
278,1974,DON MILLS RD AT STEELES AVE EAST
279,1975,DON MILLS RD AT VAN HORNE AVE
280,1977,DON MILLS RD AT WYNFORD DR
284,5006,DONCASTER AVE AT MAIN ST WEST SIDE
285,5007,DONCASTER AVE AT MAIN ST
286,5008,DONCASTER AVE AT MAIN ST
289,9288,DREWRY AVE AT GARDENIA CRT
290,9275,DREWRY AVE AT GRANTBROOK ST
291,979,DUFFERIN ST AT YORKDALE RD
293,985,DUFFERIN ST AT JANE OSLER BLVD NORTHSIDE YORKDALE SHOPPING
295,9856,DUNDAS ST WEST AT BLOOR ST WEST
296,9942,DUNDAS ST WEST AT JANE ST EAST SIDE
297,9943,DUNDAS ST WEST AT JANE ST WEST SIDE
298,4455,DUNDAS ST WEST AT RUNNYMEDE RD WEST SIDE
299,5026,DUNDAS ST WEST AT RUNNYMEDE RD
303,13898,DUPLEX AVE AT EGLINTON AVE WEST
308,11181,EASTERN AVE AT QUEEN ST EAST SOUTH SIDE
309,13486,EASTERN AVE AT QUEEN ST EAST
310,9855,EDNA AVE AT DUNDAS ST WEST
311,1031,2495 EGLINTON AVE EAST AT SOUTH SERVICE RD (EAST)
312,2240,EGLINTON AVE EAST AT BAYVIEW AVE EAST SIDE
313,11677,EGLINTON AVE EAST AT BAYVIEW AVE EAST SIDE
314,11678,EGLINTON AVE EAST AT BAYVIEW AVE EAST SIDE
316,11681,EGLINTON AVE EAST AT BAYVIEW AVE EAST SIDE
317,2253,EGLINTON AVE EAST AT BRIMLEY RD WEST SIDE
318,10467,EGLINTON AVE EAST AT EGLINTON SQ
320,3539,EGLINTON AVE EAST AT KENNEDY STATION
321,5071,EGLINTON AVE EAST AT LAIRD DR
322,2288,EGLINTON AVE EAST AT MARKHAM RD WEST SIDE
323,1036,EGLINTON AVE EAST AT MIDLAND AVE WEST SIDE
324,9113,EGLINTON AVE EAST AT MT PLEASANT RD EAST SIDE
325,9114,EGLINTON AVE EAST AT MT PLEASANT RD EAST SIDE
326,5081,EGLINTON AVE EAST AT YONGE ST (EGLINTON STATION)
327,9111,EGLINTON AVE EAST AT HOLLY ST EAST SIDE
328,9112,EGLINTON AVE EAST AT HOLLY ST EAST SIDE
330,11488,EGLINTON AVE WEST AT AVENUE RD EAST SIDE
331,9897,EGLINTON AVE WEST AT YONGE ST
334,9896,EGLINTON AVE WEST AT EVERDEN RD (EGLINTON WEST STATION)
335,9895,EGLINTON AVE WEST AT EVERDEN RD (EGLINTON WEST STATION)
336,2354,EGLINTON AVE WEST AT GLENARDEN RD
337,2366,EGLINTON AVE WEST AT JANE ST EAST SIDE
338,2380,EGLINTON AVE WEST AT MARLEE AVE
339,13440,EGLINTON AVE WEST AT MARLEE AVE
340,2388,EGLINTON AVE WEST AT OAKWOOD AVE
342,9383,EGLINTON AVE EAST AT WESTON RD
343,2419,EGLINTON AVE WEST AT WESTON RD
344,9898,EGLINTON AVE WEST AT YONGE ST WEST SIDE
345,11506,8TH ST AT BIRMINGHAM ST
346,3543,EIGHTH ST AT LAKE SHORE BLVD WEST NORTH SIDE
348,10904,ELLESMERE RD AT MIRROW CRT
349,9622,ELLESMERE RD AT EAST SERVICE RD
350,9619,ELLESMERE RD AT EAST SERVICE RD
351,9604,ELLESMERE RD AT MCCOWAN RD EAST SIDE
352,6368,ELLESMERE RD AT PHARMACY AVE
353,6372,ELLESMERE RD AT VICTORIA PARK AVE
354,9621,ELLESMERE RD AT WEST SERVICE RD EAST SIDE
355,9620,ELLESMERE RD AT WEST SERVICE RD
357,11107,ERSKINE AVE AT MT PLEASANT RD WEST SIDE
358,6375,THE ESPLANADE AT LOWER JARVIS ST EAST SIDE
359,2435,EVANS AVE AT BROWNS LINE
362,11202,FARNBORO RD AT ATTWELL DR EAST SIDE
363,9910,FINCH AVE EAST AT FINCHDENE SQ WEST SIDE
364,9909,FINCH AVE EAST AT NEILSON RD WEST SIDE
365,9912,FINCH AVE EAST AT YONGE ST EAST SIDE
366,4750,AIRPORT RD AT BEVERLEY ST
367,4752,AIRPORT RD AT BRESLER DR WEST SIDE
368,4753,AIRPORT RD AT BRESLER DR
369,4768,AIRPORT RD AT VICTORY CRES
370,6222,ALBION RD AT ELMHURST DR
371,13427,ALBION RD AT HUMBERLINE DR
372,6228,ALBION RD AT ISLINGTON AVE
375,3300,ATTWELL DR AT BELFIELD RD NORTH SIDE
376,3297,ATTWELL DR AT DISCO RD
377,3299,ATTWELL DR AT MARMAC DR SOUTH SIDE
378,9304,ATTWELL DR AT MCLACHLAN DR
379,14093,AUKLAND RD AT DUNDAS ST WEST
380,4773,AVENUE RD AT EGLINTON AVE WEST
381,11238,AVENUE RD AT OLD ORCHARD GROVE
382,11936,AVENUE RD AT WILSON AVE SOUTH SIDE
383,13478,3174 BATHURST ST
384,134,BATHURST ST AT ELM RIDGE DR
386,143,BATHURST ST AT GLENCAIRN AVE
388,204,BATHURST ST AT ST CLAIR AVE WEST
390,9719,BATHURST ST AT STEELES AVE WEST
392,11641,BAYCREST AT HOME FOR AGED
393,11640,WAGMAN CENTRE
394,9122,BAYVIEW AVE AT VALLYANNA DR
395,3325,BELFIELD RD AT BROCKPORT DR WEST SIDE
396,3326,BELFIELD RD AT BROCKPORT DR
397,11091,BERRY RD AT PARK LAWN RD
398,1740,BIRCHMOUNT RD AT FINCH AVE EAST
399,7549,BIRCHMOUNT RD AT HIGHVIEW AVE SOUTH SIDE
400,7550,BIRCHMOUNT RD AT HIGHVIEW AVE
401,9720,BIRCHMOUNT RD AT STEELES AVE SOUTH SIDE
402,10770,BLOOR ST WEST AT CONCORD AVE
403,526,BLOOR ST WEST AT ISLINGTON AVE WEST SIDE
404,11999,BLOOR ST WEST AT ISLINGTON AVE
405,9952,BLOOR ST WEST AT JANE ST
406,11396,1388 BLOOR ST WEST
409,12258,BRENTCLIFFE RD AT VANDERHOOD AVE
411,11925,BROADVIEW AVE AT ERINDALE AVE
412,14314,CHURCH ST AT LOMBARD ST NORTH SIDE
413,4886,CHURCH ST AT UPHILL AVE
416,9534,CORDOVA AVE AT DUNDAS ST WEST
417,11619,BELLAMY RD NORTH AT PROGRESS AVE
418,4908,COXWELL AVE AT MORTIMER AVE (TORONTO EAST GENERAL)
419,4911,COXWELL AVE AT PLAINS RD
425,1842,3450 DANFORTH AVE
426,9955,DANFORTH AVE AT MAIN ST
427,4003,KEELE ST AT KEELEGATE DR
428,11689,KEELE ST AT ST CLAIR AVE WEST
429,7899,KEELE ST AT ST CLAIR AVE WEST
430,10755,KEELE ST AT TORO RD
431,9154,KEELE ST AT WILSON AVE NORTH SIDE
432,14141,WILSON AVE AT KEELE ST NORTH SIDE
433,2752,KENNEDY RD AT EGLINTON AVE EAST
434,4113,KENNEDY RD AT PROGRESS AVE
435,13624,KING ST WEST AT SHAW ST EAST SIDE
437,4187,KING ST WEST AT STRACHAN AVE
440,4285,KIPLING AVE AT BELFIELD RD
441,4291,KIPLING AVE AT BLOOR ST WEST NORTH SIDE
443,5139,LAIRD DR AT EGLINTON AVE EAST
444,5213,LANSDOWNE AVE AT DAVENPORT RD SOUTH SIDE
446,11578,LANSDOWNE AVE AT ST CLAIR AVE WEST
447,13068,LAWRENCE AVE EAST AT EAST AVE (ROUGE HILL GO STATION)
448,5299,LAWRENCE AVE EAST AT ORTON PARK RD
449,5357,LAWRENCE AVE WEST AT CULFORD RD
451,6046,LAWRENCE AVE WEST AT SCARLETT RD EAST SIDE
452,5410,LAWRENCE AVE WEST AT VARNA DR WEST SIDE
453,5415,LAWRENCE AVE WEST AT WESTON RD
454,11638,LAWRENCE PLAZA AT CANADA TRUST
455,11637,LAWRENCE SQ AT NORTHWEST ENTRANCE
456,11145,LESLIE ST AT EASTERN AVE
457,5451,LESLIE ST AT KIRKWOOD RD NORTH SIDE
458,5455,LESLIE ST AT LAWRENCE AVE EAST
459,11377,LESLIE ST AT QUEEN ST EAST SOUTH SIDE
461,1242,LONSDALE RD AT AVENUE RD EAST SIDE
462,13366,EXHIBITION LOOP AT MANITOBA DR
463,12584,EXHIBITION LOOP
465,6528,TORONTO ZOO
466,6527,TORONTO ZOO
467,6526,TORONTO ZOO
468,5519,ROUGE HILL GO STATION LOOP
469,10939,ROUGE HILL GO STATION LOOP AT LAWRENCE AVE EAST
470,6530,ROUGE HILL GO STATION LOOP AT LAWRENCE AVE EAST
475,7948,EARLSCOURT LOOP AT ST CLAIR AVE WEST
477,4435,LONG BRANCH LOOP
478,10927,QUEENS QUAY LOOP AT LOWER SPADINA AVE
481,11155,SUNNYSIDE LOOP
485,14061,WESTWOOD MALL LOOP AT MORNING STAR DR
486,2852,LUMSDEN AVE AT WESTLAKE AVE
487,11364,PROGRESS AVE AT MARKHAM RD EAST SIDE
489,11845,QUEEN ST EAST AT KINGSTON RD
490,13461,QUEEN ST EAST AT KINGSTON RD
491,6051,QUEEN ST WEST AT SHAW ST
492,8038,QUEEN'S PARK CRES WEST AT HOSKIN AVE
493,1459,QUEEN'S PARK CRES EAST AT ST JOSEPH ST NORTH SIDE
494,1461,QUEEN'S PARK CRES WEST AT QUEEN'S PARK CRES WEST
495,1463,QUEEN'S PARK CRES WEST AT UNIVERSITY LIBRARY
496,12139,THE QUEENSWAY AT MORGAN AVE
497,6920,THE QUEENSWAY AT STEPHEN DR
498,6923,THE QUEENSWAY AT WINDERMERE AVE WEST SIDE
500,6011,RATHBURN RD AT LLOYD MANOR RD
501,10880,REDPATH AVE AT BROADWAY AVE
502,11109,REDPATH AVE AT BROADWAY AVE
503,10878,REDPATH AVE AT EGLINTON AVE EAST NORTH SIDE
504,11123,REDPATH AVE AT EGLINTON AVE EAST
505,11122,REDPATH AVE AT ERSKINE AVE SOUTH SIDE
506,10881,REDPATH AVE AT ERSKINE AVE
507,10879,REDPATH AVE AT ROEHAMPTON AVE
508,11110,REDPATH AVE AT ROEHAMPTON AVE
510,8069,RENFORTH DR AT EGLINTON AVE WEST
512,11628,MICHAEL POWER / ST JOSEPH H.S.
513,11627,MICHAEL POWER / ST JOSEPH H.S.
514,11346,RICHMOND ST EAST AT JARVIS ST WEST SIDE
515,11319,RICHMOND ST EAST AT SHERBOURNE ST WEST SIDE
520,6031,ROGERS RD AT KEELE ST
522,6991,ROYAL YORK RD AT DIXON RD
523,12175,ROYAL YORK RD AT EGLINTON AVE WEST SOUTH SIDE
526,8082,SENTINEL RD AT FINCH AVE WEST
527,4498,SENTINEL RD AT THE POND RD
528,10870,SEWELLS RD AT BRENYON WAY EAST SIDE
529,10873,SEWELLS RD AT BRENYON WAY
530,10871,SEWELLS RD AT MCLEVIN AVE
532,7172,SHEPPARD AVE EAST AT COMMONS DR
533,11025,SHEPPARD AVE EAST AT COMMONS DR
534,11669,SHEPPARD AVE EAST AT MEADOWVALE RD
535,13918,SHEPPARD AVE EAST AT VICTORIA PARK AVE EAST SIDE
536,6069,SHEPPARD AVE WEST AT JANE ST EAST SIDE
537,6087,SHEPPARD AVE WEST AT SENTINEL RD
538,4598,SHEPPARD AVE AT WILLIAM R ALLEN RD WEST SIDE
